[Executing file /usr/local/automate/scripts/operational/hub_dialog_versions.groovy on platform 'CMS-0' as user 'hno']
[Filter mode is enabled, only hubmodules matching JAV* will be used. Experimental!]
KAC_JAV-1 KAC_JAV-1.ENC-1 10.50.10.180
+------------+--------------+---------------------------------------------------------------------------------------------------------------------+
| KAC_JAV-1  | PGITAS-3     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:06 UTC 2020               |
| KAC_JAV-1  | PGITAS-4     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:06 UTC 2020               |
| KAC_JAV-1  | PGITAS-5     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:07 UTC 2020               |
| KAC_JAV-1  | PGITAS-6     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:07 UTC 2020               |
| KAC_JAV-1  | PGITAS-7     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:07 UTC 2020               |
| KAC_JAV-1  | REDCTL-0-1   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:33 UTC 2020               |
| KAC_JAV-1  | REDCTL-0-2   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:31 UTC 2020               |
| KAC_JAV-1  | TCS-1-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-1-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-2-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-2-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-3-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-3-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-4-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-4-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-5-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-5-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:31 UTC 2020               |
| KAC_JAV-1  | TCS-6-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-6-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
+------------+--------------+---------------------------------------------------------------------------------------------------------------------+

KAC_JAV-1 KAC_JAV-1.ENC-2 10.50.10.183
+------------+---------------+---------------------------------------------------------------------------------------------------------------------+
| KAC_JAV-1  | BSC-1-1       |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 16:46:24 UTC 2020               |
| KAC_JAV-1  | BSC-1-2       |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 16:53:18 UTC 2020               |
| KAC_JAV-1  | HMGW-1-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:54 UTC 2020               |
| KAC_JAV-1  | HMGW-1-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:53 UTC 2020               |
| KAC_JAV-1  | LOG-1-1       |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | LOG-1-2       |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | MON-1-1       |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | MON-1-2       |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-10  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:40 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-11  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:41 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-12  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:41 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-13  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:41 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-14  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:41 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-8   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:41 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-9   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:41 UTC 2020               |
| KAC_JAV-1  | PGICSE-10     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGICSE-11     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGICSE-12     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGICSE-13     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGICSE-14     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGICSE-8      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGICSE-9      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIDCP-10     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIDCP-11     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIDCP-12     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIDCP-13     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIDCP-14     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIDCP-8      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIDCP-9      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIDEM-10     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-11     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-12     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-13     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-14     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-8      |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-9      |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIHRCCTL-10  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-11  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-12  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-13  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-14  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:37 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-8   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-9   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-10   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-11   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-12   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-13   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-14   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:35 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-8    |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:37 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-9    |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-10  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-11  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-12  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-13  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-14  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:01:36 UTC 2020               |
