time,modem name,modemType,macaddress,HPS,beamName,satnetName,VNO,hub module,ActiveBeamID,CF,SymbolRate,RXvoltage,ElevationOffset,LowBand_LO,HighBand_LO,BUC_LO,temperature,cpuUsage,forwardModcod,uptime,ESN0,ReceivePower,BE_RX,BE_TX,CD1_RX,CD1_TX,CD2_RX,CD2_TX,CD3_RX,CD3_TX,RT1_RX,RT1_TX,RT2_RX,RT2_TX,RT3_RX,RT3_TX
2020-07-30T00:15:42,EXCITE_HP2_VAN61_AitapeJayaLtd_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f0:90,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,49.0,20.56256062075655,13,1418579,9.199999809265137,-28.89999961853027,194,215,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:16:08,EXCITE_HP2_VAN6_AMANAB_FOREST_PROD_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:ee:8a,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,38.79999923706055,24.32170542635659,20,14337345,12.19999980926514,-26.39999961853027,169,129,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:16:35,EXCITE_HP2_VAN9_ImbioBOPPL_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f9:5e,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,50.59999847412109,21.17073170731707,19,788957,12.0,-31.60000038146973,311,186,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:17:01,EXCITE_HP2_VAN_AmanabForestStonepas_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fe:f2,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,34.59999847412109,22.84607938044531,20,448860,12.69999980926514,-25.20000076293945,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:17:28,EXCITE_HP2_VAN_PJ_PlantationsLtd_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fb:e2,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,50.0,22.74927395934172,21,3596050,13.39999961853027,-26.20000076293945,86,143,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:17:56,KARUNIASINERGI_HP1_T0002_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:3e:ee,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,47.20000076293945,35.23166023166024,21,7467000,13.80000019073486,-24.20000076293945,1948,1602,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:18:23,KSINERGI_HP1_T0004_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:84:07,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,40.59999847412109,20.76023391812866,21,161103,12.89999961853027,-31.39999961853027,71,64,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:18:51,KSINERGI_HP1_T0005_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:3d:04,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,49.79999923706055,16.33466135458167,21,358447,13.39999961853027,-30.79999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:19:49,KSINERGI_HP1_T0007_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:41:a3,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,52.0,23.35907335907336,21,576751,13.19999980926514,-30.60000038146973,270,146,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:20:48,KSINERGI_HP3_T0003_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:86:99,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,36.0,28.58527131782946,19,451223,11.80000019073486,-38.09999847412109,200,91,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:21:14,PETRO1_HP1_T0034_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:42:98,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,50.79999923706055,19.45788964181994,19,381813,12.10000038146973,-32.79999923706055,52,102,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:21:41,PETRO1_HP1_T0035_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:fc:8f,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,37.40000152587891,27.35208535402522,20,3819423,12.80000019073486,-29.60000038146973,1783,1620,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:22:08,PETRO1_HP1_T0063_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:47:fb,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,43.0,18.86429258902791,19,7651310,12.0,-32.5,11,10,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:22:34,PETRO1_HP1_T0065_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:3f:7a,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,46.79999923706055,20.71636011616651,20,6802436,12.60000038146973,-31.89999961853027,10,16,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:23:01,PETRO1_HP1_T0066_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:3b:05,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,45.0,39.57115009746588,21,6805922,14.0,-28.60000038146973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:23:29,PETRO1_HP1_T0070_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:49:a6,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,45.20000076293945,17.42940603700097,18,6807872,11.19999980926514,-32.79999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:23:55,PETRO1_HP1_T0071_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:4c:70,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,45.40000152587891,17.59530791788857,21,6213852,12.80000019073486,-32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:24:22,PETRO1_HP1_T0078_B13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:35:b7,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,47.79999923706055,19.34235976789168,21,3403105,13.89999961853027,-29.79999923706055,173,160,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:24:50,Test-JAV-1-13,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:b8:02,4,Beam-JAV-13,JAV-13-SN-1,Kacific_SVNO,KAC_JAV-2,13,19850000000,257142900,18v,71.7,17150000000,18050000000,27600000000,45.59999847412109,16.50485436893204,20,69458760,12.60000038146973,-32.09999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:25:16,PETRO1_HP1_T0001_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:80:64,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,48.40000152587891,20.44790652385589,20,44312216,12.30000019073486,-32.59999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:25:44,PETRO1_HP1_T0002_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:86:ae,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,34.0,19.23828125,21,241212,14.0,-32.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:26:11,PETRO1_HP1_T0003_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:89:7f,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,45.59999847412109,21.24151309408341,21,5234622,13.5,-30.20000076293945,156,136,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:26:37,PETRO1_HP1_T0004_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:84:a1,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,13v,68.4,17150000000,18050000000,27600000000,46.79999923706055,21.97483059051307,21,497017,13.69999980926514,-31.29999923706055,195,232,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:27:04,PETRO1_HP1_T0005_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:80:6b,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,47.40000152587891,20.93023255813954,21,512858,12.80000019073486,-32.90000152587891,34,52,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:27:31,PETRO1_HP1_T0007_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:7d:8c,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,41.0,17.82868525896414,21,155161,13.60000038146973,-32.29999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:27:58,PETRO1_HP1_T0008_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:7e:1f,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,46.0,19.02390438247012,21,5246155,13.80000019073486,-31.39999961853027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:28:25,PETRO1_HP1_T0009_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:82:e1,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,31.39999961853027,18.48249027237354,24,9125876,14.80000019073486,-29.89999961853027,14,32,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:28:51,PETRO1_HP1_T0011_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:85:e3,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,31.79999923706055,20.56530214424951,21,459998,13.39999961853027,-31.60000038146973,41,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:29:18,PETRO1_HP1_T0012_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:85:c7,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,44.59999847412109,23.86473429951691,24,16519131,14.19999980926514,-30.89999961853027,61,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:29:44,PETRO1_HP1_T0013_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:81:21,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,46.20000076293945,24.85493230174081,21,16512866,13.69999980926514,-33.59999847412109,224,224,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:30:13,PETRO1_HP1_T0014_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:79:e9,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,43.0,25.86872586872587,21,16306544,14.30000019073486,-30.79999923706055,649,371,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:30:40,PETRO1_HP1_T0015_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:85:6c,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,45.20000076293945,46.66666666666666,24,16678798,14.5,-30.29999923706055,267,211,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:31:09,PETRO1_HP1_T0036_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:77:34,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,44.79999923706055,20.63953488372093,21,692690,13.60000038146973,-30.10000038146973,48,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T00:31:37,PETRO1_HP1_T0037_B10,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:85:65,1,Beam-JAV-10,JAV-10-SN-1,Kacific_SVNO,KAC_JAV-1,10,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,43.59999847412109,17.34496124031008,24,4370601,14.39999961853027,-28.70000076293945,31,28,0,0,0,0,0,0,0,0,0,0,0,0
