time,modem name,modemType,macaddress,HPS,beamName,satnetName,VNO,hub module,ActiveBeamID,CF,SymbolRate,RXvoltage,ElevationOffset,LowBand_LO,HighBand_LO,BUC_LO,temperature,cpuUsage,forwardModcod,uptime,ESN0,ReceivePower
2020-07-02T00:19:06,EXCITE_HP4_GKA5_CraterMines_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:05:3c,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,45,15.25753158,20,1852035,12.89999962,-36.90000153
2020-07-02T00:19:06,EXCITE_HP1_RAB_TzenNiugini_2ndTerm_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f6:b7,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,50.20000076,20.77669903,21,59801888,13.39999962,-31.39999962
2020-07-02T00:19:06,EXCITE_HP1_HGN6_BanzKofi_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:73:70,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,44.79999924,26.62013958,21,437542592,13.10000038,-27.79999924
2020-07-02T00:19:06,EXCITE_HP1_GKA3_Mrs_Kimisopa_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fe:7b,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,54,20.60252672,20,48687856,12.39999962,-23.20000076
2020-07-02T00:19:06,EXCITE_HP4_RAB25_KabaleoTeachrCollge_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:ed:b1,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,44.20000076,43.97299904,21,128359840,13.5,-31
2020-07-02T00:19:06,EXCITE_HP1_GKA2_Farmset_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f9:c7,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,49,17.82868526,21,76026712,13.10000038,-23.20000076
2020-07-02T00:19:06,EXCITE_HP3_RAB30_JRHoldings_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:de:76,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,51,17.48046875,21,293191936,14.10000038,-29.5
2020-07-02T00:19:06,EXCITE_HP1_RAB24_H3International_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:e1:63,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,49.59999847,21.02713178,21,8896948,13.60000038,-32.59999847
2020-07-02T00:19:06,EXCITE_HP4_RAB10_IP_HQ_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:fa:3e,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,39.20000076,18.45410628,21,102497016,13.69999981,-30.39999962
2020-07-02T00:19:06,EXCITE_HP1_HGN11_IAI_Hagen_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:ee:36,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,46,17.83625731,21,1230590,14.10000038,-24.79999924
2020-07-02T00:19:06,POC-BHI-29-24,Newtec MDM2510 modem. Software version: 4.3.0.7. Hardware identifier: NTC/2499.AA,00:06:39:8b:f7:89,8,Beam-BHI-24,BHI-24-SN1,OurTelecom_SVNO,KAC_BHI-1,24,19825000000,214285700,18v,68.4,17150000000,18050000000,27600000000,50.40000153,24.48979592,19,66439368,11.89999962,-32
2020-07-02T00:19:06,POC-BHI-29-22,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:ff:e7,1,Beam-BHI-22,BHI-22-SN1,OurTelecom_SVNO,KAC_BHI-2,22,20075000000,214285700,18v,68.4,17150000000,18050000000,27600000000,45.59999847,25.36302033,21,376699,13.10000038,-25.79999924
2020-07-02T00:19:06,EXCITE_HP1_RAB8_ArchidocesKokopo_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f7:b3,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,50,18.46452867,21,388780896,13.60000038,-31
2020-07-02T00:19:06,EXCITE_HP1_MDG7_Elliven_B14,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f6:47,13,Beam-BHI-14,BHI-14-SN1,Kacific_SVNO,KAC_BHI-2,14,19900000000,342857100,18v,68.4,17150000000,18050000000,27600000000,49.59999847,19.27945472,21,25914938,12.80000019,-24.10000038
2020-07-02T00:19:07,EXCITE_HP1_RAB5_OpenBayTimber2_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:ee:83,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,44.59999847,24.29543246,21,362998336,13.80000019,-34.90000153
2020-07-02T00:19:06,EXCITE_HP4_RAB02_TropicanaHQ_B38,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:e0:bb,12,Beam-BHI-38,BHI-38-SN1,Kacific_SVNO,KAC_BHI-1,38,20125000000,128571400,18v,68.4,17150000000,18050000000,27600000000,43.59999847,18.24324324,19,8988485,12.30000019,-34.5
2020-07-02T00:19:06,WN_HP11_T00017_B39,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:61:ee,9,Beam-BHI-39,BHI-39-SN1,Kacific_SVNO,KAC_BHI-1,39,19950000000,428571400,18v,68.4,17150000000,18050000000,27600000000,40.40000153,42.07968902,22,87443352,16.29999924,-23.29999924
